1737978009931|0|statement|connection 5|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar58'
1737978009931|0|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar2'
1737978009931|0|statement|connection 1|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar47'
1737978009932|0|statement|connection 8|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar77'
1737978009932|0|statement|connection 2|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar2'
1737978009932|0|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar1'
1737978009931|0|statement|connection 3|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar24'
1737978009933|0|statement|connection 4|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar22'
1737978009933|0|statement|connection 5|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar15'
1737978009933|0|statement|connection 8|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar94'
1737978009933|0|statement|connection 7|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar91'
1737978009933|3|statement|connection 6|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar94'
1737978009934|0|statement|connection 3|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar13'
1737978009934|0|statement|connection 2|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar77'
1737978009934|0|statement|connection 1|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar65'
1737978009934|0|statement|connection 6|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar34'
1737978009934|0|statement|connection 7|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar56'
1737978009935|0|statement|connection 2|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar80'
1737978009935|0|statement|connection 6|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar44'
1737978009935|1|statement|connection 5|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar35'
1737978009935|0|statement|connection 3|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar79'
1737978009936|0|statement|connection 1|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar42'
1737978009936|0|statement|connection 7|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar56'
1737978009936|1|statement|connection 8|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar51'
1737978009936|1|statement|connection 4|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar66'
1737978009936|0|statement|connection 6|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar29'
1737978009936|3|statement|connection 9|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar30'
1737978009936|0|statement|connection 7|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar17'
1737978009937|0|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar41'
1737978009936|0|statement|connection 3|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar83'
